run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
cap10_seed0,train,window,1516,770,746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,test,window,408,210,198,0.553921568627451,0.5520923520923521,0.6142857142857143,0.4898989898989899,0.5608695652173913,0.5863636363636363,0.1049958868769074,0.6000721500721501,0.6067396085500859,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed0,test,subject,41,21,20,0.5853658536585366,0.5821428571428572,0.7142857142857143,0.45,0.5769230769230769,0.6382978723404256,0.1704873428320532,0.6404761904761904,0.6747105086467855,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap10_seed0",logs/train/bipolar_filt/runs/cap10_seed0
cap10_seed1,train,window,1524,770,754,0.7414698162729659,0.7416342278411243,0.7259740259740259,0.7572944297082228,0.7533692722371967,0.7394179894179894,0.4834083577759878,0.8237589996210686,0.832317680530036,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,train,subject,154,77,77,0.7987012987012987,0.7987012987012987,0.7792207792207793,0.8181818181818182,0.8108108108108109,0.7947019867549668,0.5978565316465418,0.8856468207117557,0.8919716839594145,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,test,window,400,210,190,0.64,0.6413533834586467,0.6142857142857143,0.6684210526315789,0.671875,0.6417910447761194,0.2825793162682806,0.6731578947368421,0.686217599676777,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed1,test,subject,41,21,20,0.6829268292682927,0.6833333333333333,0.6666666666666666,0.7,0.7,0.6829268292682927,0.3666666666666666,0.7119047619047619,0.7401114304143936,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap10_seed1",logs/train/bipolar_filt/runs/cap10_seed1
cap10_seed2,train,window,1522,770,752,0.9421813403416556,0.9422820530533296,0.9337662337662338,0.9507978723404256,0.951058201058201,0.9423328964613368,0.8845213353160192,0.9867832964907431,0.9875534619996372,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
cap10_seed2,train,subject,154,77,77,0.9935064935064936,0.9935064935064934,1.0,0.987012987012987,0.9871794871794872,0.9935483870967742,0.987096233585649,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
cap10_seed2,test,window,402,210,192,0.5796019900497512,0.5759672619047619,0.6571428571428571,0.4947916666666667,0.5872340425531914,0.6202247191011236,0.1540013627994844,0.6056547619047619,0.6038437351176491,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
cap10_seed2,test,subject,41,21,20,0.5609756097560976,0.5571428571428572,0.7142857142857143,0.4,0.5555555555555556,0.625,0.1204677203873668,0.6047619047619047,0.6324862751978804,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap10_seed2",logs/train/bipolar_filt/runs/cap10_seed2
cap10_seed3,train,window,1526,770,756,0.7378768020969856,0.737987012987013,0.7259740259740259,0.75,0.7473262032085561,0.7364953886693018,0.476045996039603,0.8232598089740946,0.8337563579092666,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap10_seed3",logs/train/bipolar_filt/runs/cap10_seed3
cap10_seed3,train,subject,154,77,77,0.7727272727272727,0.7727272727272727,0.7532467532467533,0.7922077922077922,0.7837837837837838,0.7682119205298014,0.5458690071555382,0.8814302580536347,0.8937160575439236,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap10_seed3",logs/train/bipolar_filt/runs/cap10_seed3
cap10_seed3,test,window,398,210,188,0.628140703517588,0.6345238095238095,0.5190476190476191,0.75,0.6987179487179487,0.5956284153005464,0.2751362051452872,0.7376646403242147,0.7746033942985462,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap10_seed3",logs/train/bipolar_filt/runs/cap10_seed3
cap10_seed3,test,subject,41,21,20,0.6585365853658537,0.661904761904762,0.5238095238095238,0.8,0.7333333333333333,0.6111111111111112,0.3360330235530325,0.769047619047619,0.8035592479183709,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap10_seed3",logs/train/bipolar_filt/runs/cap10_seed3
cap10_seed4,train,window,1516,770,746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap10_seed4",logs/train/bipolar_filt/runs/cap10_seed4
cap10_seed4,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap10_seed4",logs/train/bipolar_filt/runs/cap10_seed4
cap10_seed4,test,window,408,210,198,0.5490196078431373,0.5479076479076479,0.5857142857142857,0.51010101010101,0.5590909090909091,0.5720930232558139,0.0960697857610474,0.5758778258778259,0.5921292748307521,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap10_seed4",logs/train/bipolar_filt/runs/cap10_seed4
cap10_seed4,test,subject,41,21,20,0.6097560975609756,0.6095238095238096,0.6190476190476191,0.6,0.6190476190476191,0.6190476190476191,0.219047619047619,0.6357142857142857,0.6751585624808871,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap10_seed4",logs/train/bipolar_filt/runs/cap10_seed4
cap20_seed0,train,window,2382,1354,1028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap20_seed0",logs/train/bipolar_filt/runs/cap20_seed0
cap20_seed0,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap20_seed0",logs/train/bipolar_filt/runs/cap20_seed0
cap20_seed0,test,window,701,400,301,0.5805991440798859,0.5654858803986711,0.6725,0.4584717607973422,0.6226851851851852,0.6466346153846154,0.1333131211450116,0.6066445182724253,0.6455014650256312,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap20_seed0",logs/train/bipolar_filt/runs/cap20_seed0
cap20_seed0,test,subject,41,21,20,0.6097560975609756,0.6047619047619048,0.8095238095238095,0.4,0.5862068965517241,0.68,0.2301804342105929,0.6309523809523809,0.6376796924000931,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/bipolar_filt/runs/cap20_seed0",logs/train/bipolar_filt/runs/cap20_seed0
cap20_seed1,train,window,2466,1375,1091,0.9436334144363342,0.94547887676027,0.9294545454545454,0.9615032080659944,0.968181818181818,0.9484230055658628,0.887240916096979,0.9888155987001084,0.991862885253562,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap20_seed1",logs/train/bipolar_filt/runs/cap20_seed1
cap20_seed1,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap20_seed1",logs/train/bipolar_filt/runs/cap20_seed1
cap20_seed1,test,window,617,379,238,0.6256077795786061,0.6233453803685063,0.633245382585752,0.6134453781512605,0.7228915662650602,0.6751054852320675,0.2408626697974714,0.6360058535287465,0.6952296082670775,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap20_seed1",logs/train/bipolar_filt/runs/cap20_seed1
cap20_seed1,test,subject,41,21,20,0.6341463414634146,0.6321428571428571,0.7142857142857143,0.55,0.625,0.6666666666666666,0.2681441039892574,0.6857142857142856,0.6280077642328096,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/bipolar_filt/runs/cap20_seed1",logs/train/bipolar_filt/runs/cap20_seed1
cap20_seed2,train,window,2412,1373,1039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap20_seed2",logs/train/bipolar_filt/runs/cap20_seed2
